indicador,ano,nivel_territorial,codigo_localidade,localidade,variavel,unidade,valor,classificacao,categoria
Renda média domiciliar per capita,2022,Unidade da Federação,25,Paraíba,"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1097.81,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2507507,João Pessoa (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1879.00,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2504009,Campina Grande (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1373.42,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2513703,Santa Rita (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,798.63,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2510808,Patos (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1142.69,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2501807,Bayeux (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,854.80,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2516201,Sousa (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,981.33,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2503209,Cabedelo (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1834.97,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2503704,Cajazeiras (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1119.77,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2506301,Guarabira (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,1027.67,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
Renda média domiciliar per capita,2022,Município,2515302,Sapé (PB),"Valor do rendimento nominal médio mensal domiciliar per capita dos moradores em domicílios particulares permanentes ocupados, exclusive os cuja condição no domicílio era pensionista, empregado(a) doméstico(a) ou parente do(a) empregado(a) doméstico(a)",Reais,745.51,Sexo | Grupo de idade | Cor ou raça,Total | Total | Total
